can it cut you|MAYBE
can you cut you|MAYBE
can this cut you|MAYBE
can that cut you|MAYBE
can the thing cut you|MAYBE
cut you|MAYBE
cut you?|MAYBE
is it sharp|MAYBE
are you sharp|MAYBE
is this sharp|MAYBE
is that sharp|MAYBE
is the thing sharp|MAYBE
sharp|MAYBE
sharp?|MAYBE
can it fall on you|YES
can you fall on you|YES
can this fall on you|YES
can that fall on you|YES
can the thing fall on you|YES
fall on you|YES
fall on you?|YES
is it poisonous|NO
are you poisonous|NO
is this poisonous|NO
is that poisonous|NO
is the thing poisonous|NO
poisonous|NO
poisonous?|NO
can it bite you|NO
can you bite you|NO
can this bite you|NO
can that bite you|NO
can the thing bite you|NO
bite you|NO
bite you?|NO
is it hot|NO
are you hot|NO
is this hot|NO
is that hot|NO
is the thing hot|NO
hot|NO
hot?|NO
can it explode|NO
can you explode|NO
can this explode|NO
can that explode|NO
can the thing explode|NO
explode|NO
explode?|NO
is it heavy|MAYBE
are you heavy|MAYBE
is this heavy|MAYBE
is that heavy|MAYBE
is the thing heavy|MAYBE
heavy|MAYBE
heavy?|MAYBE
can you trip over it|YES
trip over it|YES
trip over it?|YES
is it dangerous|MAYBE
are you dangerous|MAYBE
is this dangerous|MAYBE
is that dangerous|MAYBE
is the thing dangerous|MAYBE
dangerous|MAYBE
dangerous?|MAYBE
do children sit on it?|YES
do kids use it daily?|YES
do babies like it?|MAYBE
can children move it around?|MAYBE
do kids find it comfortable?|MAYBE
is it safe for children?|YES
are you safe for children?|YES
is this safe for children?|YES
is that safe for children?|YES
is the thing safe for children?|YES
safe for children|YES
safe for children?|YES
do toddlers climb on it?|YES
can kids break it easily?|NO
do children need help using it?|NO
is it fun for kids?|MAYBE
are you fun for kids?|MAYBE
is this fun for kids?|MAYBE
is that fun for kids?|MAYBE
is the thing fun for kids?|MAYBE
fun for kids|MAYBE
fun for kids?|MAYBE
is it in art museums?|MAYBE
are you in art museums?|MAYBE
is this in art museums?|MAYBE
is that in art museums?|MAYBE
is the thing in art museums?|MAYBE
in art museums|MAYBE
in art museums?|MAYBE
is it in history museums?|MAYBE
are you in history museums?|MAYBE
is this in history museums?|MAYBE
is that in history museums?|MAYBE
is the thing in history museums?|MAYBE
in history museums|MAYBE
in history museums?|MAYBE
is it behind glass displays?|MAYBE
